player_id,player_name,team,position,gameweek,opponent_team,was_home,kickoff_time,fixture_id,minutes,goals,assists,yellow_cards,red_cards,own_goals,clean_sheets,saves,penalties_saved,penalties_missed,defensive_contribution,goals_conceded,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,selected,actual_points,calculated_points
19,Martinelli,Arsenal,MID,16,Wolves,True,2025-12-13T20:00:00Z,151,56,0,0,0,0,0,0,0,0,0,1,0,0,-1,0.34,0.03,0.37,0.28,68,121978,1,1
19,Martinelli,Arsenal,MID,17,Everton,False,2025-12-20T20:00:00Z,164,10,0,0,1,0,0,0,0,0,0,2,0,0,-1,0.00,0.00,0.00,0.00,68,118001,0,0
19,Martinelli,Arsenal,MID,18,Brighton,True,2025-12-27T15:00:00Z,171,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0.49,0.01,0.50,0.00,68,110036,1,1
19,Martinelli,Arsenal,MID,19,Aston Villa,True,2025-12-30T20:15:00Z,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,68,109290,0,0
19,Martinelli,Arsenal,MID,20,Bournemouth,False,2026-01-03T17:30:00Z,192,66,0,1,0,0,0,0,0,0,0,4,1,0,19,0.19,0.02,0.21,1.37,68,108477,5,5
19,Martinelli,Arsenal,MID,21,Liverpool,True,2026-01-08T20:00:00Z,201,26,0,0,1,0,0,0,0,0,0,0,0,0,3,0.02,0.01,0.03,0.15,68,107883,0,0
19,Martinelli,Arsenal,MID,22,Nott'm Forest,False,2026-01-17T17:30:00Z,217,45,0,0,0,0,0,0,0,0,0,7,0,0,3,0.58,0.05,0.63,0.20,68,109952,1,1
19,Martinelli,Arsenal,MID,23,Man Utd,True,2026-01-25T16:30:00Z,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,68,110479,0,0
19,Martinelli,Arsenal,MID,24,Leeds,False,2026-01-31T15:00:00Z,234,29,0,1,0,0,0,0,0,0,0,4,0,0,19,0.11,0.29,0.40,0.03,68,110214,4,4
19,Martinelli,Arsenal,MID,25,Sunderland,True,2026-02-07T15:00:00Z,241,30,0,1,0,0,0,0,0,0,0,3,0,0,20,0.04,0.26,0.30,0.02,68,113430,4,4
19,Martinelli,Arsenal,MID,26,Brentford,False,2026-02-12T20:00:00Z,252,9,0,0,0,0,0,0,0,0,0,1,0,0,3,0.07,0.00,0.07,0.33,68,145001,1,1
19,Martinelli,Arsenal,MID,26,Wolves,False,2026-02-18T20:00:00Z,310,90,0,0,0,0,0,0,0,0,0,10,2,0,7,0.63,0.12,0.75,0.29,68,145001,2,2
19,Martinelli,Arsenal,MID,27,Spurs,False,2026-02-22T16:30:00Z,269,14,0,0,0,0,0,0,0,0,0,5,0,0,3,0.00,0.00,0.00,0.42,68,130683,1,1
19,Martinelli,Arsenal,MID,28,Chelsea,True,2026-03-01T16:30:00Z,271,34,0,0,0,0,0,0,0,0,0,2,0,0,3,0.00,0.01,0.01,0.22,68,122879,1,1
19,Martinelli,Arsenal,MID,29,Brighton,False,2026-03-04T19:30:00Z,283,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07,0.00,0.07,0.55,68,119496,1,1
19,Martinelli,Arsenal,MID,30,Everton,True,2026-03-14T17:30:00Z,291,29,0,1,0,0,0,0,0,0,0,2,0,0,15,0.04,0.09,0.13,0.08,68,118249,4,4
19,Martinelli,Arsenal,MID,32,Bournemouth,True,2026-04-11T11:30:00Z,311,53,0,0,0,0,0,0,0,0,0,1,1,0,3,0.00,0.01,0.01,0.70,68,118993,1,1
19,Martinelli,Arsenal,MID,33,Man City,False,2026-04-19T15:30:00Z,327,45,0,0,0,0,0,0,0,0,0,3,1,0,1,0.34,0.01,0.35,0.69,68,116213,1,1
