player_id,fpl_full_name,fpl_team,understat_id,understat_name,understat_score,needs_review_understat,review_reason_understat,fbref_id,fbref_name,fbref_score,needs_review_fbref,review_reason_fbref,needs_review,total_minutes
576,Ashley Phillips,Spurs,9780,Mathys Tel,42.35294117647059,True,low name-match confidence,Mathys Tel,Mathys Tel,42.35294117647059,True,low name-match confidence,True,0
566,Brandon Austin,Spurs,9105,Radu Dragusin,66.66666666666667,True,low name-match confidence,Radu Drăgușin,Radu Drăgușin,66.66666666666667,True,low name-match confidence,True,0
822,Jaydon Jones,Sunderland,13720,Dan Neil,56.25,True,low name-match confidence,Dan Neil,Dan Neil,56.25,True,low name-match confidence,True,0
821,Jack Whittaker,Sunderland,14460,Djiamgone Jocelin Ta Bi,42.75,True,low name-match confidence,Jocelin Ta Bi,Jocelin Ta Bi,44.44444444444444,True,low name-match confidence,True,0
775,Tymur Tutierov,Sunderland,11633,Marc Guiu,50.0,True,low name-match confidence,Marc Guiu,Marc Guiu,50.0,True,low name-match confidence,True,0
774,Jenson Jones,Sunderland,13714,Jenson Seelt,66.66666666666667,True,low name-match confidence,Jenson Seelt,Jenson Seelt,66.66666666666667,True,low name-match confidence,True,0
563,Luís Hemir Silva Semedo,Sunderland,13717,Chemsdine Talbi,49.87499999999999,True,low name-match confidence,Chemsdine Talbi,Chemsdine Talbi,49.87499999999999,True,low name-match confidence,True,0
554,Abdoullah Ba,Sunderland,13715,Dan Ballard,49.565217391304344,True,low name-match confidence,Daniel Ballard,Daniel Ballard,43.84615384615385,True,low name-match confidence,True,0
562,Ahmed Abdullahi,Sunderland,13713,Trai Hume,55.38461538461539,True,low name-match confidence,Trai Hume,Trai Hume,55.38461538461539,True,low name-match confidence,True,0
559,Nectarios Triantis,Sunderland,7432,Reinildo,48.0,True,low name-match confidence,Trai Hume,Trai Hume,47.5,True,low name-match confidence,True,0
558,Jay Matete,Sunderland,8986,Omar Alderete,52.17391304347826,True,low name-match confidence,Omar Alderete,Omar Alderete,52.17391304347826,True,low name-match confidence,True,0
557,Harrison Jones,Sunderland,13712,Robin Roefs,56.00000000000001,True,low name-match confidence,Robin Roefs,Robin Roefs,56.00000000000001,True,low name-match confidence,True,0
556,Pierre Ekwah Elimby,Sunderland,13720,Dan Neil,45.0,True,low name-match confidence,Dan Neil,Dan Neil,45.0,True,low name-match confidence,True,0
555,Alan Browne,Sunderland,9789,Brian Brobbey,58.33333333333333,True,low name-match confidence,Brian Brobbey,Brian Brobbey,58.33333333333333,True,low name-match confidence,True,0
664,Benjamin Lecomte,Fulham,5973,Kenny Tete,53.84615384615385,True,low name-match confidence,Bernd Leno,Bernd Leno,53.84615384615385,True,low name-match confidence,True,0
334,Luke Harris,Fulham,910,Harrison Reed,63.333333333333336,True,low name-match confidence,Harrison Reed,Harrison Reed,63.333333333333336,True,low name-match confidence,True,0
333,Martial Godo,Fulham,3203,Issa Diop,47.61904761904761,True,low name-match confidence,Issa Diop,Issa Diop,47.61904761904761,True,low name-match confidence,True,0
79,Chris Mepham,Bournemouth,10744,Ryan Christie,55.16129032258064,True,low name-match confidence,Ryan Christie,Ryan Christie,55.16129032258064,True,low name-match confidence,True,0
76,Owen Bevan,Bournemouth,12963,Evanilson,59.99999999999999,True,low name-match confidence,Evanilson,Evanilson,59.99999999999999,True,low name-match confidence,True,0
75,Matai Akinmboni,Bournemouth,8211,Amine Adli,47.36842105263159,True,low name-match confidence,Amine Adli,Amine Adli,47.36842105263159,True,low name-match confidence,True,0
71,Illia Zabarnyi,Bournemouth,14395,Rayan,54.0,True,low name-match confidence,Rayan,Rayan,54.0,True,low name-match confidence,True,0
70,Alex Paulsen,Bournemouth,14374,Alex Tóth,74.34782608695652,True,low name-match confidence,Alex Tóth,Alex Tóth,74.34782608695652,True,low name-match confidence,True,0
69,Callan McKenna,Bournemouth,6219,Enes Ünal,55.38461538461539,True,low name-match confidence,Enes Ünal,Enes Ünal,55.38461538461539,True,low name-match confidence,True,0
68,Will Dennis,Bournemouth,12963,Evanilson,51.42857142857142,True,low name-match confidence,Evanilson,Evanilson,51.42857142857142,True,low name-match confidence,True,0
66,Norberto Murara Neto,Bournemouth,14395,Rayan,54.0,True,low name-match confidence,Rayan,Rayan,54.0,True,low name-match confidence,True,0
820,Kian McMahon-Brown,Burnley,13729,Zian Flemming,46.666666666666664,True,low name-match confidence,Zian Flemming,Zian Flemming,46.666666666666664,True,low name-match confidence,True,0
784,George Brierley,Burnley,12094,Mike Trésor,45.86206896551724,True,low name-match confidence,Mike Trésor,Mike Trésor,45.86206896551724,True,low name-match confidence,True,0
776,Oliver Pimlott,Burnley,13726,Oliver Sonne,63.33333333333332,True,low name-match confidence,Oliver Sonne,Oliver Sonne,63.33333333333332,True,low name-match confidence,True,0
219,Michael Obafemi,Burnley,12094,Mike Trésor,63.33333333333332,True,low name-match confidence,Mike Trésor,Mike Trésor,63.33333333333332,True,low name-match confidence,True,0
212,Oluwaseun Adewumi,Burnley,11824,Lucas Pires,50.0,True,low name-match confidence,Lucas,Lucas,72.0,True,low name-match confidence,True,0
211,Aaron Ramsey,Burnley,14281,Jaydon Banel,50.0,True,low name-match confidence,Jaydon Amauri Banel,Jaydon Amauri Banel,51.42857142857142,True,low name-match confidence,True,0
208,Luca Koleosho,Burnley,11824,Lucas Pires,58.33333333333333,True,low name-match confidence,Lucas,Lucas,80.0,True,low name-match confidence,True,0
204,Darko Churlinov,Burnley,1018,Josh Cullen,46.15384615384615,True,low name-match confidence,Josh Cullen,Josh Cullen,46.15384615384615,True,low name-match confidence,True,0
78,Julián Araujo Zúñiga,Bournemouth,13474,Julio Soler,54.0,True,low name-match confidence,Julio Soler,Julio Soler,54.0,True,low name-match confidence,True,0
89,Philip Billing,Bournemouth,11504,Eli Junior Kroupi,36.774193548387096,True,low name-match confidence,Eli Junior Kroupi,Eli Junior Kroupi,36.774193548387096,True,low name-match confidence,True,0
118,Jayden Meghoma,Brentford,11281,Michael Kayode,54.285714285714285,True,low name-match confidence,Michael Kayode,Michael Kayode,54.285714285714285,True,low name-match confidence,True,0
91,Luis Sinisterra Lucumí,Bournemouth,10744,Ryan Christie,51.3,True,low name-match confidence,Ryan Christie,Ryan Christie,51.3,True,low name-match confidence,True,0
